Date,DPZ,AAPL,GOOG,AMD,GME,SPY,NFLX,BA,WMT,GS,XOM,META,BRK-B,MSFT,QQQ
2018-01-02,175.86183166503906,40.722869873046875,53.25,10.979999542236328,3.988463878631592,243.07229614257812,201.07000732421875,282.88641357421875,88.62325286865234,223.93504333496094,63.22059631347656,181.4199981689453,197.22000122070312,80.22900390625,152.07278442382812
2018-01-03,180.30213928222656,40.715782165527344,54.124000549316406,11.550000190734863,3.975358724594116,244.6097869873047,205.0500030517578,283.8012390136719,89.39628601074219,221.8505096435547,64.46223449707031,184.6699981689453,199.7899932861328,80.60238647460938,153.5504608154297
2018-01-04,185.59849548339844,40.90489959716797,54.31999969482422,12.119999885559082,4.001569747924805,245.64071655273438,205.6300048828125,282.7243957519531,89.4771957397461,224.95106506347656,64.55147552490234,184.3300018310547,200.69000244140625,81.31179809570312,153.81907653808594
2018-01-05,188.43014526367188,41.3706169128418,55.11149978637695,11.880000114440918,4.080203056335449,247.27769470214844,209.99000549316406,294.322265625,90.0075454711914,223.80369567871094,64.49942779541016,186.85000610351562,201.4199981689453,82.3199234008789,155.3638916015625
2018-01-08,191.5439910888672,41.21696090698242,55.34700012207031,12.279999732971191,4.2003374099731445,247.72988891601562,212.0500030517578,295.57073974609375,91.33794403076172,220.55418395996094,64.7894058227539,188.27999877929688,202.74000549316406,82.40392303466797,155.96839904785156
2018-01-09,194.4602813720703,41.21223449707031,55.3129997253418,11.819999694824219,4.270233631134033,248.2906036376953,209.30999755859375,303.46148681640625,90.24125671386719,222.4197998046875,64.51432037353516,187.8699951171875,203.02000427246094,82.34791564941406,155.97796630859375
2018-01-10,188.23255920410156,41.2027702331543,55.13050079345703,11.960000038146973,4.298629283905029,247.9106903076172,212.52000427246094,305.20550537109375,89.59407043457031,222.76141357421875,64.00128173828125,187.83999633789062,205.61000061035156,81.97454071044922,155.61331176757812
2018-01-11,197.41419982910156,41.43681335449219,55.2760009765625,12.140000343322754,4.359787940979004,249.7195587158203,217.24000549316406,312.69598388671875,89.90869140625,223.4621124267578,64.6332778930664,187.77000427246094,206.69000244140625,82.21723175048828,156.67840576171875
2018-01-12,198.63714599609375,41.86470031738281,56.112998962402344,12.020000457763672,3.879251003265381,251.34744262695312,221.22999572753906,320.4057312011719,90.67276763916016,225.1262969970703,65.0719223022461,179.3699951171875,210.16000366210938,83.63605499267578,157.829833984375
2018-01-16,196.88742065429688,41.651947021484375,56.0880012512207,11.90999984741211,3.748194932937622,250.4883270263672,221.52999877929688,319.40509033203125,90.51094055175781,226.37872314453125,64.66301727294922,178.38999938964844,210.2899932861328,82.46926879882812,157.37884521484375
2018-01-17,195.5703582763672,42.339874267578125,56.5989990234375,12.180000305175781,3.822460174560547,252.8758544921875,217.5,334.51007080078125,92.31773376464844,222.16580200195312,65.4288330078125,177.60000610351562,214.16000366210938,84.1401138305664,159.07716369628906
2018-01-18,198.411376953125,42.37770080566406,56.489498138427734,12.470000267028809,3.901094436645508,252.4507598876953,220.3300018310547,324.1700134277344,93.75598907470703,219.81846618652344,65.00502014160156,179.8000030517578,213.19000244140625,84.1027603149414,159.10595703125
2018-01-19,200.885498046875,42.1885871887207,56.8754997253418,12.59000015258789,3.960068464279175,253.59930419921875,220.4600067138672,321.854248046875,94.01669311523438,224.32920837402344,64.79682922363281,181.2899932861328,213.25,84.00944519042969,159.6049041748047
2018-01-22,203.4725341796875,41.84342575073242,57.79050064086914,12.649999618530273,3.833381414413452,255.66136169433594,227.5800018310547,322.111572265625,94.78972625732422,229.05892944335938,65.61471557617188,185.3699951171875,215.97000122070312,85.51226806640625,161.3128204345703
2018-01-23,206.5582275390625,41.852882385253906,58.49850082397461,12.9399995803833,3.8006174564361572,256.2039794921875,250.2899932861328,319.81488037109375,95.19425201416016,227.8064422607422,65.65188598632812,189.35000610351562,215.55999755859375,85.782958984375,162.6465301513672
2018-01-24,205.758544921875,41.18622589111328,58.21200180053711,12.710000038146973,3.708878517150879,256.1044616699219,261.29998779296875,318.95721435546875,95.09537506103516,232.70257568359375,65.82288360595703,186.5500030517578,215.61000061035156,85.70829010009766,161.59109497070312
2018-01-25,206.33242797851562,40.45100784301758,58.51850128173828,12.40999984741211,3.6782989501953125,256.2129821777344,269.70001220703125,326.9813537597656,95.823486328125,235.63677978515625,65.70392608642578,187.47999572753906,215.10000610351562,86.1843490600586,161.53353881835938
2018-01-26,203.9335174560547,40.54556655883789,58.79199981689453,12.949999809265137,3.7263529300689697,259.17938232421875,274.6000061035156,327.08624267578125,97.43253326416016,234.85720825195312,66.1723403930664,190.0,217.19000244140625,87.79918670654297,164.0090789794922
2018-01-29,202.5694580078125,39.70634078979492,58.77899932861328,13.319999694824219,3.7460107803344727,257.4610595703125,284.5899963378906,324.79901123046875,98.47527313232422,238.65853881835938,65.43624877929688,185.97999572753906,215.4600067138672,87.66849517822266,163.21267700195312
2018-01-30,203.15269470214844,39.472312927246094,58.18450164794922,12.869999885559082,3.728536605834961,254.8202667236328,278.79998779296875,321.835205078125,96.83926391601562,235.55795288085938,64.52174377441406,187.1199951171875,214.41000366210938,86.5670394897461,161.86936950683594
2018-01-31,203.99937438964844,39.581050872802734,58.49700164794922,13.739999771118164,3.671746015548706,254.9468536376953,270.29998779296875,337.71209716796875,95.823486328125,234.6383056640625,64.90837860107422,186.88999938964844,214.3800048828125,88.68595886230469,162.54100036621094
