Date,BTC-USD,ETH-USD,ADA-USD,ETC-USD,TRX-USD,BCH-USD,SOL-USD,DOT-USD,LTC-USD,XRP-USD
2018-01-01,13657.2001953125,772.6409912109375,0.7286570072174072,34.16790008544922,0.051695000380277634,2432.5400390625,,,229.0330047607422,2.3910300731658936
2018-01-02,14982.099609375,884.4439697265625,0.7825869917869568,34.91709899902344,0.07868199795484543,2711.0,,,255.6840057373047,2.4809000492095947
2018-01-03,15201.0,962.719970703125,1.0796600580215454,34.863399505615234,0.09470299631357193,2608.68994140625,,,245.3679962158203,3.105370044708252
2018-01-04,15599.2001953125,980.9219970703125,1.1141200065612793,36.31800079345703,0.20797400176525116,2430.179931640625,,,241.3699951171875,3.1966300010681152
2018-01-05,17429.5,997.719970703125,0.9995589852333069,36.199501037597656,0.22055499255657196,2584.47998046875,,,249.27099609375,3.0487101078033447
2018-01-06,17527.0,1041.6800537109375,1.02715003490448,38.424800872802734,0.17479699850082397,2786.64990234375,,,296.4540100097656,3.0939700603485107
2018-01-07,16477.599609375,1153.1700439453125,1.0085200071334839,40.79309844970703,0.19965499639511108,2786.8798828125,,,288.45098876953125,3.377810001373291
2018-01-08,15170.099609375,1148.530029296875,0.8990020155906677,34.18629837036133,0.1519930064678192,2421.469970703125,,,255.76300048828125,2.456209897994995
2018-01-09,14595.400390625,1299.739990234375,0.8147429823875427,38.32160186767578,0.1247820034623146,2391.56005859375,,,247.03700256347656,2.1017799377441406
2018-01-10,14973.2998046875,1255.8199462890625,0.7931209802627563,36.95220184326172,0.12955300509929657,2895.3798828125,,,250.51800537109375,1.9749200344085693
2018-01-11,13405.7998046875,1154.9300537109375,0.6884120106697083,32.79389953613281,0.1090800017118454,2462.610107421875,,,229.36599731445312,1.9507999420166016
2018-01-12,13980.599609375,1273.199951171875,0.8975080251693726,36.403900146484375,0.10885799676179886,2620.989990234375,,,236.8560028076172,2.0432300567626953
2018-01-13,14360.2001953125,1396.4200439453125,0.8841239809989929,42.39390182495117,0.10303500294685364,2685.2900390625,,,259.1929931640625,2.0213499069213867
2018-01-14,13772.0,1366.77001953125,0.802262008190155,42.957298278808594,0.08478199690580368,2553.320068359375,,,238.6750030517578,1.8611899614334106
2018-01-15,13819.7998046875,1291.9200439453125,0.7785869836807251,40.495601654052734,0.0756940022110939,2401.5400390625,,,232.7740020751953,1.6767300367355347
2018-01-16,11490.5,1053.68994140625,0.626492977142334,28.457300186157227,0.05448799952864647,1772.0699462890625,,,188.33099365234375,1.1792399883270264
2018-01-17,11188.599609375,1014.25,0.6291019916534424,29.123600006103516,0.07562299817800522,1748.050048828125,,,186.51600646972656,1.306339979171753
2018-01-18,11474.900390625,1036.280029296875,0.6598430275917053,30.186199188232422,0.08317899703979492,1756.75,,,192.83700561523438,1.5965800285339355
2018-01-19,11607.400390625,1039.0999755859375,0.6504979729652405,31.704299926757812,0.08049900084733963,1769.6199951171875,,,192.96400451660156,1.552049994468689
2018-01-20,12899.2001953125,1155.1500244140625,0.7075099945068359,35.00910186767578,0.08520100265741348,2032.1199951171875,,,211.01800537109375,1.5786199569702148
2018-01-21,11600.099609375,1049.5799560546875,0.6131629943847656,30.322099685668945,0.07118599861860275,1776.6400146484375,,,190.42100524902344,1.3800400495529175
2018-01-22,10931.400390625,1003.260009765625,0.5704579949378967,29.26460075378418,0.07141199707984924,1621.9200439453125,,,180.00799560546875,1.3573499917984009
2018-01-23,10868.400390625,986.22900390625,0.5630699992179871,28.366500854492188,0.06857199966907501,1621.4599609375,,,177.8070068359375,1.3370699882507324
2018-01-24,11359.400390625,1058.780029296875,0.6222079992294312,29.60409927368164,0.070421002805233,1639.1300048828125,,,179.98699951171875,1.3571499586105347
2018-01-25,11259.400390625,1056.030029296875,0.6374949812889099,29.19420051574707,0.06876599788665771,1642.1199951171875,,,180.27200317382812,1.3122299909591675
2018-01-26,11171.400390625,1055.1700439453125,0.6233819723129272,28.79509925842285,0.06662999838590622,1603.9000244140625,,,176.73399353027344,1.217270016670227
2018-01-27,11440.7001953125,1107.0699462890625,0.616832971572876,29.493499755859375,0.06842199712991714,1628.6300048828125,,,180.88600158691406,1.2191100120544434
2018-01-28,11786.2998046875,1246.010009765625,0.6702859997749329,32.90060043334961,0.06549499928951263,1746.25,,,193.86500549316406,1.3996000289916992
2018-01-29,11296.400390625,1182.3599853515625,0.6232039928436279,31.71489906311035,0.06400100141763687,1657.1400146484375,,,181.66400146484375,1.3239699602127075
2018-01-30,10106.2998046875,1071.1300048828125,0.5319129824638367,27.133699417114258,0.05376100167632103,1470.550048828125,,,165.2760009765625,1.1385600566864014
2018-01-31,10221.099609375,1118.31005859375,0.5193150043487549,28.757200241088867,0.05445399880409241,1486.8900146484375,,,163.3509979248047,1.1623899936676025
2018-02-01,9170.5400390625,1036.7900390625,0.421671986579895,24.969999313354492,0.046227000653743744,1274.3499755859375,,,142.2969970703125,0.9625300168991089
2018-02-02,8830.75,915.7849731445312,0.39053401350975037,23.072799682617188,0.04079899936914444,1191.1400146484375,,,131.37899780273438,0.8847839832305908
2018-02-03,9174.91015625,964.0189819335938,0.438836008310318,24.196699142456055,0.04447200149297714,1272.5,,,160.25,0.9240429997444153
2018-02-04,8277.009765625,834.6820068359375,0.3793030083179474,21.037399291992188,0.037932999432086945,1165.3800048828125,,,148.02499389648438,0.8157029747962952
2018-02-05,6955.27001953125,697.9509887695312,0.3273710012435913,16.52680015563965,0.030161000788211823,887.4130249023438,,,125.33000183105469,0.691798985004425
